id,plant_id,step_number,step_title,step_description,step_image_url,additional_tips,created_at,updated_at,instruction_category_id
<<<<<<< HEAD
121,69,1,Preparing the Soil,Use well-draining soil rich in organic matter. Incorporate compost and bone meal for nutrients.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688814/be-agriculture/nqjnlhui2d0nkfdsaqpn.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,1
122,69,2,Planting Rose Cuttings,Plant rose cuttings in prepared soil. Ensure the node is below soil level for rooting.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688815/be-agriculture/upyi7rmtir7zylr1oxfb.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,2
123,69,3,Rose Care,Water deeply to saturate the roots. Avoid overhead watering.Use a balanced rose fertilizer during the growing season.Prune in late winter to early spring for shape and remove dead wood.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688815/be-agriculture/gihmbjuy93sdtjvhyjir.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,3
124,69,4,Harvesting Roses,Harvest roses as blooms open fully. Cut stems at a diagonal for longer vase life.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718688816/be-agriculture/qu78op25hf9hg4rhhclq.png,-,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,4
157,78,1,Preparation the Soil,Plant lemon trees in well-draining soil enriched with organic matter. Ensure soil pH is slightly acidic to neutral.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699752/be-agriculture/nqp42oksharmwsqdotz0.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,1
158,78,2,Planting Lemon Tree from Seed, Start lemon trees from seeds indoors or directly in the ground. Plant seeds 1 inch deep in moist soil and keep them warm until germination.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699753/be-agriculture/mvpzix448dr3hc7o7ado.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,2
159,78,3,Lemon Tree Care,"Water deeply but infrequently, allowing the top 2 inches of soil to dry out between waterings.Apply a balanced citrus fertilizer every 6-8 weeks during the growing season to promote healthy growth and fruit production.Prune lemon trees in late winter to early spring to remove dead or diseased branches and promote air circulation.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699753/be-agriculture/pxvgxtmpwvfbq0qic2jy.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,3
160,78,4,Harvesting Lemons,Harvest lemons when they are fully yellow and firm. Cut or twist fruits from the tree carefully to avoid damaging the branches.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718699754/be-agriculture/miwqx9h7cwycu0q2gv0p.png,-,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,4
161,79,1,Preparating the Soil,Plant mango trees in well-draining soil enriched with organic matter. Ensure soil pH is slightly acidic to neutral.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701537/be-agriculture/qhdezjwswcr2lj7gup67.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,1
162,79,2,Planting Mango Tree ,Choose a sunny location with protection from strong winds. Dig a hole twice as wide as the root ball and plant at the same level as in the nursery pot.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701538/be-agriculture/g9b1hwkcd8zcb0zqbmdh.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,2
163,79,3,Mango Tree Care,"Water deeply but infrequently, allowing the top 2 inches of soil to dry out between waterings.Apply a balanced fertilizer formulated for fruit trees every 6-8 weeks during the growing season to promote healthy growth and fruit production.Prune mango trees in late winter to early spring to remove dead or diseased branches and promote air circulation.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701539/be-agriculture/cb1rz5dhs9xygwrvtitc.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,3
164,79,4,Harvesting Mangoes,Harvest mangoes when they are fully ripe and have developed their characteristic color and aroma. Use a pole picker or hand pick them carefully to avoid damaging the fruit or tree.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701539/be-agriculture/tmu0osrmntlhllpyegob.png,-,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,4
169,81,1,gk tau,biarkan tumbuh secara alami,,-,2024-06-18 10:23:26.436,2024-06-18 10:23:26.436,2
173,85,1,Cara Merawat,Biarkan terkena matahari sepanjang hari dan berikan air secukupnya,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718712039/be-agriculture/qkz0kkkhcgxgbr51wysb.jpg,-,2024-06-18 12:00:40.759,2024-06-18 12:00:40.759,3
175,87,1,,How to care for Alang-Alang,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718713005/be-agriculture/lvw9dseb6w8kwrkkqxin.jpg,-,2024-06-18 12:16:46.136,2024-06-18 12:16:46.136,3
181,93,1,Preparing the Soil,Use well-draining soil with sand or gravel for added drainage.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725121/be-agriculture/epksr8ssz0mtbjv12ln3.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498,1
182,93,2,Planting Rosemary Cuttings,Plant rosemary cuttings in a sunny location with well-draining soil. Keep soil consistently moist until roots establish.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718725121/be-agriculture/nop6tkkiidwxsoeu4rfi.png,-,2024-06-18 15:38:44.498,2024-06-18 15:38:44.498,2
